Giordani Gold Essenza;Parfém;dámská;květinová;bergamot;citron;mandarinka;pomerančový květ;jasmín;zelená mandle;toskánské dřevo;jantar;mošus;;;;;;;;
Giordani Gold Shine;EDP;dámská;ovocná;citron;mučenka;černý rybíz;broskev; grep;hruška;jasmín;otočník;pivoňka;růže;ambra;pačuli;cedrové dřevo;santalové dřevo;kůže;;
Giordani White Gold;EDP;dámská;ovocná;mandarinka;frézie;malina;hyacint;jasmín;zimolez;nektarinka;růže;pižmo;pačuli;mech;vanilka;;;;;
Grace;EDT;dámská;orientální;pepř;hrušková tříšť;kardamom;jasmín;fialka;karafiát;pižmo;vřes vetiver;kašmírové dřevo;;;;;;;;
Chiffon;EDT;dámská;orientální;pelargonie;švestka;ylang-ylang;dřevo cedrové;pačuli;tuberóza;bílé pižmo;pomerančový květ;santalové dřevo;;;;;;;;
Ice;EDT;dámská;citrusová;mandarinka;grapefruit;ozonový akord;meloun;konvalinka;frézie;bílé růže;bílé pižmo;brambořík;;;;;;;;
Intense Embrance Her;EDT;dámská;orientální;broskev;bergamot;jablko;fialky;frézie;ylang-ylang;fialka;růže;pižmo;světlé dřeviny;cedrové dřevo;santalové dřevo;mech; pačuli;;;
Life Circle - Blossom;EDT;dámská;citrusová;mandarinka;citron;pomeranč;jasmín;lístky neroli;broskev;pižmo;;;;;;;;;;
Life Circle - Fruit;EDT;dámská;ovocná;hrušeň nashi;jahody;ananas;osmanthus;jasmín;konvalinka;frézie;růže;pižmo;vanilka;cedrové dřevo;santalové dřevo;;;;;
Life Circle - Leaf;EDT;dámská;bylinná;břečťan;zázvor;petržel;jasmín;konvalinka;bílé pižmo;pačuli;santalové dřevo;ambra;;;;;;;;
Life Circle - Sap;EDT;dámská;květinová;fialka;grapefruit;jasmín;frézie;šalvěj;lékořice;pižmo;dřevité tóny;vanilka;fík;;;;;;;
Love Potion;EDP;dámská;orientální;mandarinka;zázvor;rum;bílá lilie;vanilka;kakaové květy;čokoláda;santalové dřevo;tonkové semeno;;;;;;;;
Lovely Garden;EDT;dámská;svěží;granátové jablko;rebarbora;zelené tóny;vřelý mléčný nádech;otočník;červená pivoňka;pižmo;vanilková orchidej;santalové dřevo;;;;;;;;
Lucia;EDT;dámská;ovocná;citron;břečťan;černý rybíz;vodní tóny;fialka;jasmín;lilie; šeřík;ylang-ylang; hyacint;růže;pižmo;ambra;santalové dřevo;vanilka;bílá broskev; meruňka
Marcel;EDT;dámská;orientální;planá růže;absinth;kadidlo;turecká růže;pouštní ovoce;kořen kosatce;ambra;pačuli;semišový akord;;;;;;;;
Midnight Pearl;EDP;dámská;květinová;frézie;pomerančový květ;hruška;jasmín;frangipán;pivoňka;karafiát;pačuli;vřes vetiver;cedrové dřevo;agarové dřevo;;;;;;
Midsummer Her;EDT;dámská;mořská;citron;bergamot;vodní komplex;zelené květinové tóny;jasmín;fialka;moruše;konvalinka;pižmo;kuskus;cedrové dřevo;;;;;;
Midsummer Woman;EDT;dámská;mořská;grep;meloun;vodní tóny;jasmín;růže;meruňka;pižmo;mimóza;santalové dřevo;;;;;;;;
Mirage;EDT;dámská;orientální;mandarinka;pryskyřice elemi;pomeranč;jasmín;vřes vetiver;růže;ambra;vanilka;santalové dřevo;;;;;;;;
Mirage daydream;EDT;dámská;orientální;jedlé kaštany;šlehačkový akord;sambacký jasmín;lilie;vanilka;balzám perou;kakaová esence;cedrové dřevo;;;;;;;;;
Miss O;EDT;dámská;mořská;grapefruit;bergamot;černý rybíz;ananas;kokos;lilie;otočník;vodní tóny;broskev;pižmo;jantar;cedrové dřevo;santalové dřevo;;;;
Miss O Club Privé;EDT;dámská;ovocná;list hrušně;bergamot;Granny Smith jablko;květ pomeranče;konvalinka;žlutá bluma;ambra;pačuli;pižmo mechové;;;;;;;;
Miss O Fashion Princess;EDT;dámská;ovocná;mandarinka;bergamot;ananas;maliny;slunečnice;jablko;pralinky;santalové dřevo;tonkové semeno;;;;;;;;
Moon;EDT;dámská;ovocná;olej cypřišový;olej pomerančový; olej mátový;bylinné tóny;černý rybíz;meloun;jasmín;konvalinka;mořské tóny;růže;pižmo;pepř;santalové dřevo;švestka;broskev;;
More by Demi;EDP;dámská;orientální;mandarinka;broskev;ylang-ylang;jasmín;květ pomeranče;otočník;pižmo;pralinky;santalové dřevo;vanilka;;;;;;;
Muse;EDT;dámská;květinová;pomeranč;bergamot;zelené listové tóny;jasmín;fialka;poupata šeříku;růže;bílé pižmo;cedrové dřevo;santalové dřevo;;;;;;;
Nomadic Her;EDP;dámská;orientální;mandarinka;švestka;růžový pepř;zelené listy;frézie;jasmín;konvalinka;ylang-ylang;růže;pačuli;ambra;cedrové dřevo;santalové dřevo;císt krétský; vanilka;;
Northern Lights;EDT;dámská;ovocná;mořská vůně;meloun;černý rybíz;grapefruit;limetka;jasmín;konvalinka;zelený akord; fialka;růže;bílé pižmo;ambra;maliny;pačuli;;;
Oasis Fresh dawn;EDT;dámská;orientální;mandarinka;černý pepř;kardamom;pouštní lilie;slunečnice;ylang-ylang;ambra;jasný pouštníakord;;;;;;;;;
Oasis Warm sunset;EDT;dámská;ovocná;frézie;květy fialek;růže;badyán;jasmín;slaný akord;kašmírové dřevo;ambrox;vanilka;bílé dřeviny;;;;;;;
Paradise;EDT;dámská;kořeněná;černý pepř;růžový pepř;frézie;jasmín;konvalinka;pivoňka;pižmo;kašmírové dřevo;cedrové dřevo;;;;;;;;
Party Queen;EDT;dámská;kořeněná;citron;vavřín;pepřové kuličky;provensálský med;hrozny tramínu červeného;norlimbanol;vanilka;;;;;;;;;;
Power Woman;EDT;dámská;bylinná;zázvor;frézie;ruský čaj;jasmín;růže;pomerančový květ;pačuli;ambra;vzácné dřevo;;;;;;;;
PM Red Dream;Kolínská;dámská;květinová;červené jablko;magnolie;světlé dřeviny;;;;;;;;;;;;;;
Precious;EDP;dámská;kořeněná;mandarinka;bergamot;hruška;broskev;jasmín;tuberóza;zázvor;skořice;myrha;benzoin;jantar;vanilka;;;;;
Precious Moments;EDT;dámská;ovocná;červené jablko;ostružina;černý rybíz;jasmín;magnolie;pižmo;karamel;světlé dřeviny;;;;;;;;;
Pretty Swan;EDT;dámská;květinová;mandarinka;růžový pepř;bergamot;jasmín;otočník;meruňka;pižmo;rýžový pudr;světlé dřeviny;tonkové semeno;mech; vanilka;;;;;
Rock Angel;EDT;dámská;ovocná;grapefruit;bergamot;jablko;hruška;gardénie;tuberóza;fialka;broskev;růže;pižmo;vanilka;cedrové dřevo;santalové dřevo;pačuli;;;
Rock n' passion;EDT;dámská;zemitá;kůže; pomerančový kvítek; pačuli;;;;;;;;;;;;;;
Saga;EDT;dámská;svěží;olej z turecké růže;květy plané olivy;černý rybíz;švestka;konvalinka;broskev;růže;bílé pižmo;dřevité tóny;santalové dřevo;pačuli;;;;;;
Savannah Wild;EDT;dámská;ovocná;mandarinka;bergamot;černý rybíz;rebarbora;švestka;frézie;fík;pižmo;otočník;cedrové dřevo;;;;;;;
Savannah Sensuous;EDT;dámská;orientální;ibišek;černý pepř;marula;květ pomeranče;ylang-ylang;šafrán;;;;;;;;;;;
Serene;EDT;dámská;svěží;mandarinka;zelená frézie;černý rybíz;grapefruit;listy;jasmín;zimolez;iris;růže;pižmo;exotické dřeviny;cedrové dřevo;santalové dřevo;;;;
Serene Blue;EDT;dámská;mořská;vodní ovoce;bergamot;citronová kůra;frézie;ylang-ylang;lilie;pivoňka;;;;;;;;;;
Smarty Susie;EDT;dámská;orientální;mandarinka;vzdušný akord;ylang-ylang;pryskyřice neroli;otočník;orchidej;opékané žužu bonbóny;labdanum;peruánský balzám;;;;;;;;
Solliden Her;EDP;dámská;květinová;citron;květy citrusů;pomeranč;jasmín;iris;ylang-ylang;růže;bílé pižmo;dřevité tóny;santalové dřevo;vanilka;;;;;;
Sparkle in Paris;EDT;dámská;ovocná;ostružiny;růžový pepř;růžový grep;jasmín;květ pomeranče;šampaňský akord;pižmo;vřes vetiver;;;;;;;;;
Sun;EDT;dámská;ovocná;jablko;čerstvá zeleň;černý rybíz;frézie;fialka;mořské tóny;pižmo;jasmín;konvalinka;;;;;;;;
Together Her;EDT;dámská;svěží;olej citronový;olej mandarinkový;olej pomerančový;ozon;květiny;mořský akord;konvalinka;frézie;růže;pižmo;santalové dřevo;;;;;;
Ultra Glam;EDT;dámská;květinová;badyán;bergamot;růžový grep;květ pomeranče;čaj jasmínový;otočník;pralinky;vanilka;siam benzon;santalové dřevo;;;;;;;
Urban Lovers her;EDT;dámská;ovocná;nashi hruška;zelený čaj;pomelo;nepravý jasmín;broskev;bílé růže;pižmo;cedrové dřevo;santalové dřevo;;;;;;;;
Vivacity;EDT;dámská;citrusová;mandarinka;růžový pepř;růžový grep;pivoňka;pomerančový květ;pižmo;ambra;vetiver;;;;;;;;;
Volare;EDP;dámská;květinová;šeřík;iris - kosatec;fialka;broskev;meruňka;růže;pižmo;jantar;santalové dřevo;;;;;;;;
Volare Magnolia;EDP;dámská;květinová;citron;pomerančový květ;magnolie květ;jasmín;růže;pižmo;světlé dřeviny;tonkové semeno;;;;;;;;;
Voyage Monaco Chic!;EDT;dámská;ovocná;broskev;bergamot;meloun;jasmín;květ pomeranče;pižmo;světlé dřeviny;vanilková orchidej;;;;;;;;;
Voyage So Nice!;EDT;dámská;ovocná;broskev;liči;černý rybíz;jablko;pivoňka;konvalinka;růžové poupě;pižmo;vřes vetiver;cedrové dřevo;cukrová třtina;;;;;;
Amazonia Him;EDT;pánská;dřevitá;mandarinka;guarama;brazilský pomeranč;fíkové listy;kapky deště;cypřiš;cedrové dřevo;míza;pižmo;ambra;mech;para ořechy;;;;;
Architect;EDT;pánská;dřevitá;citron;jedlovec;kardamom;sekvojové dřevo;guajakové dřevo;cedrové dřevo;pačuli;vřes vetiver;tabák;;;;;;;;
Ascendant;EDT;pánská;kořeněná;mandarinka;bergamot;kardamom;grapefruit;zázvor;levandule;estragon;fenykl;vanilka;vřes vetiver;cedrové dřevo;tonkové semeno;cypřiš;;;;
Ascendant Pure;EDT;pánská;pižmová;citron;bergamot;jablko;jasmín;pižmo;guajakové dřevo;ambra;cedrové dřevo;santalové dřevo;;;;;;;;
De marco;EDT;pánská;orientální;mandarinka;citron;pomeranč;pačuli;levandule;černý pepř;germanium;ambra;vřes vetiver;vzácné dřevo;;;;;;;
Eclat Him;EDT;pánská;zemitá;koriandr;bergamot;pelargonie;jasmín;cedrové dřevo;tonkové semeno;pižmo;ambra;santalové dřevo;kůže;;;;;;;
Eclat Sport for Men;EDT;pánská;kořeněná;mandarinka;bergamot;růžový pepř;oregano;tymián bílý;pryskyřice elemi;pižmo;pačuli;cedrové dřevo;tonkové semeno;;;;;;;
